# T1bar = 140 K, He mass abu = 0.18, H mass abu = 0.82, LM-H/He-REOS.3
# rho(g/ccm)       T (K)              P (GPa)            u (kJ/g)           s (kJ/g/K)
1.9014995881e-004  1.4000000000e+002  1.0000000000e-004  2.0034803178e+000  5.03991658e-002   
1.9903454307e-004  1.4265389926e+002  1.0666089346e-004  2.0276636093e+000  5.03991658e-002   
2.2332043037e-004  1.4960095833e+002  1.2551717446e-004  2.0902202151e+000  5.03991658e-002   
2.2712498980e-004  1.5071000000e+002  1.2860433675e-004  2.1001133078e+000  5.03991658e-002   
2.5056964409e-004  1.5707798704e+002  1.4789206565e-004  2.1565399680e+000  5.03991658e-002   
2.8114376476e-004  1.6499692941e+002  1.7433333818e-004  2.2256197380e+000  5.03991658e-002   
2.9761073816e-004  1.6910000000e+002  1.8915189440e-004  2.2609553240e+000  5.03991658e-002   
3.1544849237e-004  1.7343169810e+002  2.0564564530e-004  2.2980020427e+000  5.03991658e-002   
3.5393902982e-004  1.8245017681e+002  2.4279616012e-004  2.3740163269e+000  5.03991658e-002   
3.8636820662e-004  1.8974000000e+002  2.7569389690e-004  2.4343894840e+000  5.03991658e-002   
3.9712612316e-004  1.9193419303e+002  2.8666558694e-004  2.4540854108e+000  5.03991658e-002   
4.4558283887e-004  2.0145605314e+002  3.3770329881e-004  2.5387740194e+000  5.03991658e-002   
4.9995216813e-004  2.1153164585e+002  3.9800549721e-004  2.6270334647e+000  5.03991658e-002   
5.0707336312e-004  2.1289000000e+002  4.0628798618e-004  2.6388567097e+000  5.03991658e-002   
5.6095555891e-004  2.2181484414e+002  4.6845502812e-004  2.7216103740e+000  5.03991658e-002   
6.2940248914e-004  2.3253908521e+002  5.5126486039e-004  2.8201955744e+000  5.03991658e-002   
6.7166232447e-004  2.3886000000e+002  6.0443896370e-004  2.8778171211e+000  5.03991658e-002   
7.0620120800e-004  2.4388949081e+002  6.4904332334e-004  2.9234175971e+000  5.03991658e-002   
7.9237078783e-004  2.5596393172e+002  7.6472241881e-004  3.0316790137e+000  5.03991658e-002   
8.8276371760e-004  2.6801000000e+002  8.9259889169e-004  3.1381169055e+000  5.03991658e-002   
8.8905464659e-004  2.6882855202e+002  9.0174316742e-004  3.1453292901e+000  5.03991658e-002   
9.9753572036e-004  2.8243831801e+002  1.0637989242e-003  3.2644957948e+000  5.03991658e-002   
1.1192534871e-003  2.9683063466e+002  1.2556047311e-003  3.3893965423e+000  5.03991658e-002   
1.1526876740e-003  3.0071000000e+002  1.3104226409e-003  3.4227605286e+000  5.03991658e-002   
1.2558230675e-003  3.1136234648e+002  1.4794590665e-003  3.5222239002e+000  5.03991658e-002   
1.4090566571e-003  3.2639355019e+002  1.7421348466e-003  3.6615991825e+000  5.03991658e-002   
1.5272761050e-003  3.3740000000e+002  1.9536040335e-003  3.7630028629e+000  5.03991658e-002   
1.5809875724e-003  3.4226609377e+002  2.0522176752e-003  3.8076775554e+000  5.03991658e-002   
1.7738972323e-003  3.5903234220e+002  2.4184328707e-003  3.9608669266e+000  5.03991658e-002   
1.9903454307e-003  3.7664787137e+002  2.8503602739e-003  4.1206214895e+000  5.03991658e-002   
2.0128636547e-003  3.7857000000e+002  2.8977533881e-003  4.1379681584e+000  5.03991658e-002   
2.2332043037e-003  3.9558073322e+002  3.3640781128e-003  4.2908776511e+000  5.03991658e-002   
2.5056964409e-003  4.1554564527e+002  3.9732780240e-003  4.4686245446e+000  5.03991658e-002   
2.6367281742e-003  4.2477000000e+002  4.2780693677e-003  4.5502508735e+000  5.03991658e-002   
2.8114376476e-003  4.3671949330e+002  4.6957619084e-003  4.6556323912e+000  5.03991658e-002   
3.1544849237e-003  4.5920020000e+002  5.5532433682e-003  4.8526537489e+000  5.03991658e-002   
3.4332882550e-003  4.7660000000e+002  6.2861584682e-003  5.0041784738e+000  5.03991658e-002   
3.5393902982e-003  4.8284756655e+002  6.5700795391e-003  5.0603687660e+000  5.03991658e-002   
3.9712612316e-003  5.0728256110e+002  7.7691577279e-003  5.2794274440e+000  5.03991658e-002   
4.4558283887e-003  5.3300300571e+002  9.1909077768e-003  5.5085444246e+000  5.03991658e-002   
4.4852209962e-003  5.3475000000e+002  9.2839711357e-003  5.5240547065e+000  5.03991658e-002   
4.9995216813e-003  5.6015824554e+002  1.0879229554e-002  5.7544622331e+000  5.03991658e-002   
5.6095555891e-003  5.8865406919e+002  1.2883533820e-002  6.0116347711e+000  5.03991658e-002   
5.8616133467e-003  6.0000000000e+002  1.3747443185e-002  6.1137313604e+000  5.03991658e-002   
6.2940248914e-003  6.1891990893e+002  1.5273014422e-002  6.2834003498e+000  5.03991658e-002   
7.0620120800e-003  6.5106690097e+002  1.8127442774e-002  6.5707413493e+000  5.03991658e-002   
7.6158597715e-003  6.7321000000e+002  2.0296543422e-002  6.7679344321e+000  5.03991658e-002   
7.9237078783e-003  6.8490796904e+002  2.1528468517e-002  6.8746454622e+000  5.03991658e-002   
8.8905464659e-003  7.2025416407e+002  2.5572065176e-002  7.1962909845e+000  5.03991658e-002   
9.9035516881e-003  7.5536000000e+002  3.0083882254e-002  7.5152036387e+000  5.03991658e-002   
9.9753572036e-003  7.5776442417e+002  3.0412401350e-002  7.5373040553e+000  5.03991658e-002   
1.1192534871e-002  7.9707511301e+002  3.6222861510e-002  7.8987347207e+000  5.03991658e-002   
1.2558230675e-002  8.3871157070e+002  4.3296584923e-002  8.2820534945e+000  5.03991658e-002   
1.2850242134e-002  8.4752000000e+002  4.4881940652e-002  8.3631276347e+000  5.03991658e-002   
1.4090566571e-002  8.8341486793e+002  5.1817402783e-002  8.6934237751e+000  5.03991658e-002   
1.5809875724e-002  9.3099258993e+002  6.2040272587e-002  9.1310145935e+000  5.03991658e-002   
1.6555677244e-002  9.5094000000e+002  6.6693589802e-002  9.3144796400e+000  5.03991658e-002   
1.7738972323e-002  9.8042920159e+002  7.4216153047e-002  9.5978070997e+000  5.03991658e-002   
1.9903454307e-002  1.0321627800e+003  8.8729005218e-002  1.0095284411e+001  5.03991658e-002   
2.1432063423e-002  1.0670000000e+003  9.9675556659e-002  1.0431938260e+001  5.03991658e-002   
2.2332043037e-002  1.0863637496e+003  1.0626859151e-001  1.0625291034e+001  5.03991658e-002   
2.5056964409e-002  1.1424101476e+003  1.2782586821e-001  1.1191553134e+001  5.03991658e-002   
2.7851549430e-002  1.1972000000e+003  1.5169491312e-001  1.1748217465e+001  5.03991658e-002   
2.8114376476e-002  1.2022546164e+003  1.5402427877e-001  1.1799676473e+001  5.03991658e-002   
3.1544849237e-002  1.2662193175e+003  1.8567116624e-001  1.2452428034e+001  5.03991658e-002   
3.5393902982e-002  1.3337713492e+003  2.2487765816e-001  1.3152701762e+001  5.03991658e-002   
3.5928561210e-002  1.3432000000e+003  2.3073376158e-001  1.3251443932e+001  5.03991658e-002   
3.9712612316e-002  1.4065461280e+003  2.7359594487e-001  1.3917053836e+001  5.03991658e-002   
4.4558283887e-002  1.4842943289e+003  3.3346069052e-001  1.4742288203e+001  5.03991658e-002   
4.6027738430e-002  1.5071000000e+003  3.5313012354e-001  1.4989134237e+001  5.03991658e-002   
