# T1bar = 165 K, He mass abu = 0.275, H mass abu = 0.725, LM-H/He-REOS.3
# rho(g/ccm)       T (K)              P (GPa)            u (kJ/g)           s (kJ/g/K)
1.7009878520e-004  1.6500000000e+002  1.0000000000e-004  2.0194969273e+000  5.26913650e-002   
1.7979497892e-004  1.6910000000e+002  1.0833326848e-004  2.0521708111e+000  5.26913650e-002   
1.8783895651e-004  1.7242489214e+002  1.1541039139e-004  2.0785459773e+000  5.26913650e-002   
2.1075877564e-004  1.8157655614e+002  1.3638271913e-004  2.1502628955e+000  5.26913650e-002   
2.3211746136e-004  1.8974000000e+002  1.5697667111e-004  2.2132179397e+000  5.26913650e-002   
2.3647523567e-004  1.9125835044e+002  1.6120735345e-004  2.2258577589e+000  5.26913650e-002   
2.6532957841e-004  2.0094394793e+002  1.9007243292e-004  2.3059007099e+000  5.26913650e-002   
2.9770468345e-004  2.1120466510e+002  2.2420090989e-004  2.3895105311e+000  5.26913650e-002   
3.0296526786e-004  2.1289000000e+002  2.2999128162e-004  2.4031319735e+000  5.26913650e-002   
3.3403014876e-004  2.2172724112e+002  2.6414524505e-004  2.4788903159e+000  5.26913650e-002   
3.7478799120e-004  2.3275287901e+002  3.1119076941e-004  2.5722841149e+000  5.26913650e-002   
3.9837480768e-004  2.3886000000e+002  3.3950463539e-004  2.6235586875e+000  5.26913650e-002   
4.2051904258e-004  2.4443779682e+002  3.6679191607e-004  2.6701793729e+000  5.26913650e-002   
4.7183012616e-004  2.5684680484e+002  4.3257272967e-004  2.7729898455e+000  5.26913650e-002   
5.2034657854e-004  2.6801000000e+002  4.9793834559e-004  2.8644116885e+000  5.26913650e-002   
5.2940210885e-004  2.7003986489e+002  5.1046994528e-004  2.8809962922e+000  5.26913650e-002   
5.9399893587e-004  2.8399087025e+002  6.0260559881e-004  2.9942920994e+000  5.26913650e-002   
6.6647776789e-004  2.9872036576e+002  7.1157111347e-004  3.1127517983e+000  5.26913650e-002   
6.7603633329e-004  3.0071000000e+002  7.2663591282e-004  3.1286518982e+000  5.26913650e-002   
7.4780035495e-004  3.1356430138e+002  8.3849374794e-004  3.2397487043e+000  5.26913650e-002   
8.3904579839e-004  3.2904936074e+002  9.8781356596e-004  3.3724040154e+000  5.26913650e-002   
8.9036909935e-004  3.3740000000e+002  1.0751855444e-003  3.4432708940e+000  5.26913650e-002   
9.4142486980e-004  3.4546914060e+002  1.1643829630e-003  3.5115143129e+000  5.26913650e-002   
1.0562960773e-003  3.6283396418e+002  1.3730921959e-003  3.6576297245e+000  5.26913650e-002   
1.1664023237e-003  3.7857000000e+002  1.5831671267e-003  3.7893381287e+000  5.26913650e-002   
1.1851836919e-003  3.8118961307e+002  1.6199883737e-003  3.8111873572e+000  5.26913650e-002   
1.3297979740e-003  4.0063424853e+002  1.9125839454e-003  3.9724120518e+000  5.26913650e-002   
