# walkers = all; burn = 0; skip = 300
-1.614929936474996941e+00 6.473567679727540991e-01 -1.542494701871349072e+00 2.442205423591477409e+00 -5.445369100768876258e+00 1.822117463011249328e+00 2.126012919330490681e-03 -2.486813130605684298e-03 -5.257528874115526517e-04
-1.721241772715363050e+00 8.385394986283188912e-01 -1.566069986920144430e+00 2.641904123035775598e+00 -5.538598739440827146e+00 1.948778205667880181e+00 2.122997721199473137e-03 -2.460752886784002211e-03 -5.561293438601571867e-04
-1.741237769253860090e+00 9.195059186640848203e-01 -1.500117911331148246e+00 2.633520699026472567e+00 -5.456326294816879141e+00 1.506861563777987190e+00 1.992631505305312266e-03 -2.194199814664564083e-03 -7.018472194606616837e-04
-1.717761862826468366e+00 8.920112409055103164e-01 -1.494793208520863725e+00 2.620140820658330760e+00 -5.441105311479537576e+00 1.490049167699052379e+00 1.992751352132704143e-03 -2.196879556727868773e-03 -6.983847298973935294e-04
-1.733800099555227847e+00 7.843909602718963647e-01 -1.168221567416047435e+00 1.736605838059053664e+00 -5.499571129131592961e+00 1.504546625704695773e-01 2.047767542598959503e-03 -2.319430190408026515e-03 -6.259052671886148255e-04
-1.840221135536493691e+00 8.721247900127200303e-01 -8.153299860015985612e-01 1.109543403195967892e+00 -5.333038100837232065e+00 -4.118423339115656612e-01 2.005141162222009478e-03 -2.232657912513082762e-03 -6.748267552910680849e-04
-2.150055339085318984e+00 1.229226192504496940e+00 -1.028607326054766347e+00 1.309460163082748929e+00 -5.278968212209328215e+00 -3.204069425517155345e-01 1.667924574321041561e-03 -1.518140844603515019e-03 -1.082201424290554163e-03
-2.584865349735647300e+00 1.623574073073056123e+00 -1.587992600697745615e+00 1.462623322517726310e+00 -5.307936388638931469e+00 -6.478528286757616605e-01 1.374774444346868593e-03 -8.868301844964820210e-04 -1.454179492736645861e-03
-2.514968349545270598e+00 1.499994138094194573e+00 -1.616627547733951786e+00 1.456382854176301089e+00 -5.251201545756151390e+00 -7.716192146846514444e-01 1.334791406082126578e-03 -8.155331138225579458e-04 -1.483747093676991398e-03
-2.107779631893752725e+00 4.756117225783542679e-01 7.051494475473703005e-01 4.080322159761551326e-01 -5.090222303283733929e+00 -2.947518760016065720e-02 1.648145394874673490e-03 -1.487322218893459254e-03 -1.096705491660463329e-03
-2.165375287680987526e+00 1.250341278408773737e+00 -1.553130744197492197e+00 7.747645641037752551e-01 -5.051770057748532494e+00 -6.383750764982796255e-01 1.569030328134855996e-03 -1.348849378874937988e-03 -1.153233935546243809e-03
-1.939901847327822892e+00 8.011615384245471816e-01 -1.554237759629792492e+00 5.139867266570830040e-02 -4.702385931004707587e+00 -1.883355925541214226e+00 1.943497908787115850e-03 -2.197732465154714643e-03 -6.203723253785458323e-04
-1.998828973325353919e+00 8.138181471426935154e-01 -2.061576901557358177e+00 4.929043470605409816e-03 -4.702265735550741788e+00 -2.269327434739022653e+00 1.912974076628574591e-03 -2.141521530170780504e-03 -6.458336972043035758e-04
-1.144897181456101309e+00 -9.203551998608783258e-01 -1.424946960734035262e+00 -5.290212805991802991e-01 -4.315781550346546425e+00 -1.918705839638697341e+00 1.780959087137466007e-03 -1.953210573308977044e-03 -6.898843647108563338e-04
-2.381210243482632105e+00 1.711611379372404596e+00 3.194515745282200392e-02 6.625986382004609432e-01 -4.915923181103906359e+00 -2.395299912017933242e+00 1.364435175451677272e-03 -9.154822286314603496e-04 -1.400216222242112651e-03
-2.417676902689744445e+00 1.052652110126660823e+00 -4.829528300173424604e-01 5.576408097089706750e-01 -4.903940127334259103e+00 -3.203156047328252320e+00 1.518138317297316716e-03 -1.212338117680828494e-03 -1.251293378071445571e-03
-2.687731238207875961e+00 1.214874025901994559e+00 5.988491667867658075e-01 8.017285455436011787e-01 -5.891462162179443851e+00 -2.808079432370064410e+00 1.319964398961414979e-03 -7.645872946370122197e-04 -1.530914443737945016e-03
-2.406638479426711275e+00 7.284872937307090845e-01 1.044553278855999690e+00 6.328622718112737466e-01 -5.716662807309266903e+00 -2.781773220988764450e+00 1.307476309288920554e-03 -7.606702564660540889e-04 -1.515177659700054063e-03
