# walkers = all; burn = 0; skip = 450
-1.340826644601224693e+00 8.740157553453948847e-01 1.839369622129196635e-01 1.555981104220806266e+00 -2.068112006972949501e+00 -1.106848186602329420e-01 -7.691556898339361181e-01 6.909262695717131031e-01 4.643835013500366982e-01
-4.311215675930331059e+00 1.376360400609987877e+00 2.856799207072695523e-01 1.566297197892302595e+00 -1.670928736296169337e+00 -1.520258122097676967e+00 -6.457310183333770937e-01 4.191919820578913214e-01 6.420147347133423610e-01
-2.625676940832453177e+00 -9.592167555033392912e-01 -1.566821122850116987e+00 4.512745008734218022e-01 -1.098099535818581440e+00 -1.770875675617050948e+00 -8.199020252100739370e-01 7.536177521421937309e-01 4.688307622802316277e-01
-2.687881390094434941e+00 -1.512067042409369400e+00 -1.553447743492808453e+00 7.004751330137357623e-01 -1.244651611650385847e+00 -1.285319182860862997e+00 -9.257361713461296215e-01 7.973300769785037767e-01 5.966404547743868747e-01
-1.502583905953987609e+00 -9.871524308060229957e-01 -2.399417140849933183e-01 2.020126640090343706e+00 -1.877168907409945575e+00 3.689952937859027893e-01 -9.639512995524496253e-01 7.911624340087244356e-01 6.854379387457536499e-01
-2.984549945768759205e+00 -2.332056850354130795e+00 -3.106184111462625963e-01 1.958203992129200044e+00 -1.865788174671496602e+00 4.665033398260898245e-02 -1.044455455563952917e+00 9.035507507855057296e-01 6.668049259188292277e-01
-3.624915933107367039e+00 -1.984125382672561999e+00 -1.189188109895753076e+00 1.639713631592369936e+00 -1.617260069445331849e+00 3.164148880919831486e-01 -8.183739763566342251e-01 7.723566847573446470e-01 4.479584505976640929e-01
-7.117068783999975778e+00 1.667513745645984757e+00 -1.406119702813975803e+00 1.468613762425594382e+00 -1.708361441855524188e+00 2.563058321723520550e+00 -6.481505904511500882e-01 5.440843408375501955e-01 4.546213913222033054e-01
-7.361689924898736415e+00 1.268916935440795868e+00 -1.480762320583025149e+00 9.846828241936389503e-01 -1.438183838229263323e+00 2.110984688745788151e+00 -5.271541290738911423e-01 3.860629154414912945e-01 4.557748689960632316e-01
-1.925973764023202417e+00 -5.197465517691837178e-01 -1.709333019583113122e+00 2.002451819309334802e+00 -1.788632277441200458e+00 6.024231086461622198e-01 -7.901932542356411293e-01 6.127852663352514329e-01 6.271486695338192030e-01
-9.980854671866286054e-01 -1.639464033610522398e+00 -2.093964282474723770e+00 6.316213660328339197e-01 -1.167939556532765266e+00 1.321801402843876261e+00 -5.481710864004610828e-01 3.935050386689962210e-01 4.844061697894063157e-01
1.574637633209096110e-01 -7.239166168393208478e-01 -1.414314514508687282e+00 -6.843969528388306467e-02 -4.048239563196182611e-01 -1.213490176090445960e+00 -7.546010540259062704e-01 8.581706993135858053e-01 2.144917608490768957e-01
2.039908822094520513e-01 -5.138930300527615458e-01 -1.263559620405107609e+00 -1.655285025536683552e-01 -3.203729758896907143e-01 -1.257121445724661779e+00 -7.436353346800620434e-01 8.738633258265223747e-01 1.760990118237387159e-01
1.339066607552268362e-01 -4.869299787025084258e-01 -1.307959246732575576e+00 -5.728478497887745657e-02 -4.598006930487923416e-01 -1.391901705083914864e+00 -7.506477648622306154e-01 8.876678336992157581e-01 1.713036537351820265e-01
6.382005964428166811e-02 -6.700831372809507025e-01 -1.243467483836510956e+00 -1.333508307164547324e-01 -3.561629159698529445e-01 -1.059374927909423558e+00 -7.494940306437659627e-01 8.784794225259399125e-01 1.805543735973832442e-01
3.068491413805465307e-01 -6.994186273043625501e-01 -1.005962336278827696e+00 7.519778168770807625e-02 -6.398377708174263212e-01 -1.297398707084971958e+00 -6.805381729363835230e-01 8.274179721323615677e-01 1.233593089725250336e-01
1.150750417176750640e+00 -1.646505417528874027e+00 -8.517790579669024531e-01 -1.590405938072451120e-01 -1.839179391641767580e-01 -2.776634318812132740e+00 -8.634837262218970633e-01 8.335391177865189016e-01 4.356455046517787588e-01
1.710813651027675020e+00 -8.655517537728480981e-01 -8.155226961548875941e-01 -1.207904070904273430e+00 4.900855922391111896e-01 -6.135869219655874396e+00 -6.734231048139259768e-01 5.263894086388801741e-01 5.247877174644997034e-01
9.337202255987255839e-01 -2.121794759171535816e-02 -1.556720252594985254e+00 -1.118662292564677196e+00 1.654672554961695852e-01 -5.135765148787197809e+00 -6.169625197429059460e-01 6.335937656974418575e-01 2.658723352526771722e-01
1.648129201735935467e+00 -3.206794156385581185e-01 -1.757904524812740288e+00 -1.572511548876631693e+00 2.573368592662554910e-01 -4.215366014999299971e+00 -6.995416271167587130e-01 7.630152603845559156e-01 2.404009723163785250e-01
1.587180314630353806e+00 -2.793489079951361753e-01 -1.135675342703908797e+00 -1.433714220726842736e+00 1.272628359685418209e-01 -3.666154057834790869e+00 -7.115863025182467272e-01 7.806692829898951302e-01 2.392050435543709996e-01
7.466762909842361573e-01 1.249440266668467858e-01 -1.443488170537162052e+00 -8.258507841817048778e-01 9.330550569889184409e-02 -3.554780740821064988e+00 -7.421622632680620057e-01 8.214695955604974786e-01 2.406542415727984663e-01
8.734722349912382722e-01 1.264210279685449023e-01 -1.637286894323941588e+00 -8.899046354969528672e-01 1.232270251103250169e-01 -4.187441739661778684e+00 -7.300567883259874158e-01 7.811537168006107423e-01 2.710342919347749624e-01
